per_plot V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
temp_spectre.193 97500000.5 47 21 3 4 0 2 2 0 2 0 0 0 1 1 0 0 0 1 1 2 3 3
temp_spectre.194 98000000.5 25 11 2 3 1 0 1 0 1 0 0 0 0 0 1 0 0 1 1 1 1 0
temp_spectre.195 98500000.5 26 9 4 2 2 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 2 3
temp_spectre.196 99000000.5 98 21 12 7 11 3 6 2 3 1 3 1 1 1 1 2 2 5 0 2 3 11
temp_spectre.197 99500000.5 82 18 9 6 10 3 5 2 3 1 3 1 1 1 0 1 2 5 0 2 1 8
temp_spectre.198 100500000.5 13 5 2 2 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
temp_spectre.199 101000000.5 64 11 3 2 2 3 1 2 1 0 0 2 0 10 1 5 9 2 5 0 2 3
temp_spectre.200 101500000.5 54 8 1 0 2 1 0 2 1 0 0 2 0 10 1 5 9 2 5 0 2 3
temp_spectre.201 102000000.5 8 4 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
temp_spectre.202 102500000.5 10 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
temp_spectre.203 103000000.5 8 6 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
temp_spectre.204 103500000.5 73 12 9 2 4 4 4 12 0 2 12 1 1 0 2 0 1 1 0 1 1 1
temp_spectre.205 104000000.5 80 11 9 5 5 5 4 12 0 3 12 1 1 1 1 0 1 1 0 2 1 1
temp_spectre.206 104500000.5 38 10 2 4 2 4 3 0 0 1 0 1 0 1 1 0 1 0 1 1 0 5
temp_spectre.207 105000000.5 36 12 3 1 1 5 3 0 0 0 0 2 0 0 0 0 1 0 1 0 1 5
temp_spectre.208 105500000.5 18 2 1 3 0 2 0 0 0 0 0 1 0 0 1 1 0 0 2 0 2 2
temp_spectre.209 106000000.5 47 7 2 7 1 3 0 2 3 0 0 0 1 0 3 1 0 0 2 3 6 6
temp_spectre.210 106500000.5 40 8 2 5 1 3 0 2 3 0 0 0 1 0 2 0 0 0 0 3 6 4
temp_spectre.211 107000000.5 35 16 1 3 2 1 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 6
temp_spectre.212 107500000.5 39 20 1 2 3 1 0 0 0 0 1 2 1 0 1 0 0 0 1 0 0 6
temp_spectre.213 108000000.5 7 5 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
temp_spectre.214 108500000.5 17 9 1 1 3 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0
temp_spectre.215 109000000.5 34 16 3 2 4 0 0 1 0 0 0 1 0 0 0 1 0 0 0 2 0 2
temp_spectre.216 109500000.5 20 8 2 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 2
temp_spectre.217 110000000.5 14 8 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0
temp_spectre.218 110500000.5 21 8 2 0 2 2 2 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0
temp_spectre.219 111000000.5 88 21 10 5 3 3 4 3 7 3 3 0 1 2 5 2 2 0 3 0 2 9
temp_spectre.220 111500000.5 154 34 15 15 4 8 3 4 7 5 3 1 3 2 6 5 5 2 6 5 2 14
temp_spectre.221 112000000.5 108 23 9 10 3 8 1 4 2 2 1 1 3 1 4 6 6 2 3 6 1 6
temp_spectre.222 112500000.5 61 16 12 2 4 5 0 4 2 0 1 0 1 0 1 4 3 0 1 2 1 1
temp_spectre.223 113000000.5 55 11 14 2 5 3 0 4 1 0 0 4 0 0 1 3 0 0 1 1 0 0
